Day,Month,Year,Precip.,Snow
1,1,2007,0.12,0.39
2,1,2007,0.24,0.79
3,1,2007,0.31,1.18
4,1,2007,0.43,1.61
5,1,2007,0.55,2.09
6,1,2007,0.67,2.52
7,1,2007,0.79,2.91
8,1,2007,0.87,3.31
9,1,2007,0.98,3.82
10,1,2007,1.1,4.21
11,1,2007,1.22,4.69
12,1,2007,1.34,5.12
13,1,2007,1.42,5.51
14,1,2007,1.54,5.98
15,1,2007,1.65,6.42
16,1,2007,1.77,6.89
17,1,2007,1.89,7.28
18,1,2007,1.97,7.72
19,1,2007,2.09,8.11
20,1,2007,2.2,8.5
21,1,2007,2.28,9.02
22,1,2007,2.4,9.41
23,1,2007,2.52,9.69
24,1,2007,2.64,10.12
25,1,2007,2.72,10.51
26,1,2007,2.83,10.91
27,1,2007,2.95,11.3
28,1,2007,3.03,11.69
29,1,2007,3.15,12.09
30,1,2007,3.27,12.52
31,1,2007,3.35,12.91
1,2,2007,0.12,0.39
2,2,2007,0.24,0.79
3,2,2007,0.31,1.18
4,2,2007,0.43,1.61
5,2,2007,0.55,2.09
6,2,2007,0.67,2.52
7,2,2007,0.79,2.91
8,2,2007,0.87,3.31
9,2,2007,0.98,3.82
10,2,2007,1.1,4.21
11,2,2007,1.22,4.69
12,2,2007,1.34,5.12
13,2,2007,1.42,5.51
14,2,2007,1.54,5.98
15,2,2007,1.65,6.42
16,2,2007,1.77,6.89
17,2,2007,1.89,7.28
18,2,2007,1.97,7.72
19,2,2007,2.09,8.11
20,2,2007,2.2,8.5
21,2,2007,2.28,9.02
22,2,2007,2.4,9.41
23,2,2007,2.52,9.69
24,2,2007,2.64,10.12
25,2,2007,2.72,10.51
26,2,2007,2.83,10.91
27,2,2007,2.95,11.3
28,2,2007,3.03,11.69
29,2,2007,3.15,12.09
30,2,2007,3.27,12.52
31,2,2007,3.35,12.91
1,3,2007,0.12,0.39
2,3,2007,0.24,0.79
3,3,2007,0.31,1.18
4,3,2007,0.43,1.61
5,3,2007,0.55,2.09
6,3,2007,0.67,2.52
7,3,2007,0.79,2.91
8,3,2007,0.87,3.31
9,3,2007,0.98,3.82
10,3,2007,1.1,4.21
11,3,2007,1.22,4.69
12,3,2007,1.34,5.12
13,3,2007,1.42,5.51
14,3,2007,1.54,5.98
15,3,2007,1.65,6.42
16,3,2007,1.77,6.89
17,3,2007,1.89,7.28
18,3,2007,1.97,7.72
19,3,2007,2.09,8.11
20,3,2007,2.2,8.5
21,3,2007,2.28,9.02
22,3,2007,2.4,9.41
23,3,2007,2.52,9.69
24,3,2007,2.64,10.12
25,3,2007,2.72,10.51
26,3,2007,2.83,10.91
27,3,2007,2.95,11.3
28,3,2007,3.03,11.69
29,3,2007,3.15,12.09
30,3,2007,3.27,12.52
31,3,2007,3.35,12.91
1,4,2007,0.12,0.39
2,4,2007,0.24,0.79
3,4,2007,0.31,1.18
4,4,2007,0.43,1.61
5,4,2007,0.55,2.09
6,4,2007,0.67,2.52
7,4,2007,0.79,2.91
8,4,2007,0.87,3.31
9,4,2007,0.98,3.82
10,4,2007,1.1,4.21
11,4,2007,1.22,4.69
12,4,2007,1.34,5.12
13,4,2007,1.42,5.51
14,4,2007,1.54,5.98
15,4,2007,1.65,6.42
16,4,2007,1.77,6.89
17,4,2007,1.89,7.28
18,4,2007,1.97,7.72
19,4,2007,2.09,8.11
20,4,2007,2.2,8.5
21,4,2007,2.28,9.02
22,4,2007,2.4,9.41
23,4,2007,2.52,9.69
24,4,2007,2.64,10.12
25,4,2007,2.72,10.51
26,4,2007,2.83,10.91
27,4,2007,2.95,11.3
28,4,2007,3.03,11.69
29,4,2007,3.15,12.09
30,4,2007,3.27,12.52
31,4,2007,3.35,12.91
1,5,2007,0.12,0.39
2,5,2007,0.24,0.79
3,5,2007,0.31,1.18
4,5,2007,0.43,1.61
5,5,2007,0.55,2.09
6,5,2007,0.67,2.52
7,5,2007,0.79,2.91
8,5,2007,0.87,3.31
9,5,2007,0.98,3.82
10,5,2007,1.1,4.21
11,5,2007,1.22,4.69
12,5,2007,1.34,5.12
13,5,2007,1.42,5.51
14,5,2007,1.54,5.98
15,5,2007,1.65,6.42
16,5,2007,1.77,6.89
17,5,2007,1.89,7.28
18,5,2007,1.97,7.72
19,5,2007,2.09,8.11
20,5,2007,2.2,8.5
21,5,2007,2.28,9.02
22,5,2007,2.4,9.41
23,5,2007,2.52,9.69
24,5,2007,2.64,10.12
25,5,2007,2.72,10.51
26,5,2007,2.83,10.91
27,5,2007,2.95,11.3
28,5,2007,3.03,11.69
29,5,2007,3.15,12.09
30,5,2007,3.27,12.52
31,5,2007,3.35,12.91
1,6,2007,0.12,0.39
2,6,2007,0.24,0.79
3,6,2007,0.31,1.18
4,6,2007,0.43,1.61
5,6,2007,0.55,2.09
6,6,2007,0.67,2.52
7,6,2007,0.79,2.91
8,6,2007,0.87,3.31
9,6,2007,0.98,3.82
10,6,2007,1.1,4.21
11,6,2007,1.22,4.69
12,6,2007,1.34,5.12
13,6,2007,1.42,5.51
14,6,2007,1.54,5.98
15,6,2007,1.65,6.42
16,6,2007,1.77,6.89
17,6,2007,1.89,7.28
18,6,2007,1.97,7.72
19,6,2007,2.09,8.11
20,6,2007,2.2,8.5
21,6,2007,2.28,9.02
22,6,2007,2.4,9.41
23,6,2007,2.52,9.69
24,6,2007,2.64,10.12
25,6,2007,2.72,10.51
26,6,2007,2.83,10.91
27,6,2007,2.95,11.3
28,6,2007,3.03,11.69
29,6,2007,3.15,12.09
30,6,2007,3.27,12.52
31,6,2007,3.35,12.91
1,7,2007,0.12,0.39
2,7,2007,0.24,0.79
3,7,2007,0.31,1.18
4,7,2007,0.43,1.61
5,7,2007,0.55,2.09
6,7,2007,0.67,2.52
7,7,2007,0.79,2.91
8,7,2007,0.87,3.31
9,7,2007,0.98,3.82
10,7,2007,1.1,4.21
11,7,2007,1.22,4.69
12,7,2007,1.34,5.12
13,7,2007,1.42,5.51
14,7,2007,1.54,5.98
15,7,2007,1.65,6.42
16,7,2007,1.77,6.89
17,7,2007,1.89,7.28
18,7,2007,1.97,7.72
19,7,2007,2.09,8.11
20,7,2007,2.2,8.5
21,7,2007,2.28,9.02
22,7,2007,2.4,9.41
23,7,2007,2.52,9.69
24,7,2007,2.64,10.12
25,7,2007,2.72,10.51
26,7,2007,2.83,10.91
27,7,2007,2.95,11.3
28,7,2007,3.03,11.69
29,7,2007,3.15,12.09
30,7,2007,3.27,12.52
31,7,2007,3.35,12.91
1,8,2007,0.12,0.39
2,8,2007,0.24,0.79
3,8,2007,0.31,1.18
4,8,2007,0.43,1.61
5,8,2007,0.55,2.09
6,8,2007,0.67,2.52
7,8,2007,0.79,2.91
8,8,2007,0.87,3.31
9,8,2007,0.98,3.82
10,8,2007,1.1,4.21
11,8,2007,1.22,4.69
12,8,2007,1.34,5.12
13,8,2007,1.42,5.51
14,8,2007,1.54,5.98
15,8,2007,1.65,6.42
16,8,2007,1.77,6.89
17,8,2007,1.89,7.28
18,8,2007,1.97,7.72
19,8,2007,2.09,8.11
20,8,2007,2.2,8.5
21,8,2007,2.28,9.02
22,8,2007,2.4,9.41
23,8,2007,2.52,9.69
24,8,2007,2.64,10.12
25,8,2007,2.72,10.51
26,8,2007,2.83,10.91
27,8,2007,2.95,11.3
28,8,2007,3.03,11.69
29,8,2007,3.15,12.09
30,8,2007,3.27,12.52
31,8,2007,3.35,12.91
1,9,2007,0.12,0.39
2,9,2007,0.24,0.79
3,9,2007,0.31,1.18
4,9,2007,0.43,1.61
5,9,2007,0.55,2.09
6,9,2007,0.67,2.52
7,9,2007,0.79,2.91
8,9,2007,0.87,3.31
9,9,2007,0.98,3.82
10,9,2007,1.1,4.21
11,9,2007,1.22,4.69
12,9,2007,1.34,5.12
13,9,2007,1.42,5.51
14,9,2007,1.54,5.98
15,9,2007,1.65,6.42
16,9,2007,1.77,6.89
17,9,2007,1.89,7.28
18,9,2007,1.97,7.72
19,9,2007,2.09,8.11
20,9,2007,2.2,8.5
21,9,2007,2.28,9.02
22,9,2007,2.4,9.41
23,9,2007,2.52,9.69
24,9,2007,2.64,10.12
25,9,2007,2.72,10.51
26,9,2007,2.83,10.91
27,9,2007,2.95,11.3
28,9,2007,3.03,11.69
29,9,2007,3.15,12.09
30,9,2007,3.27,12.52
31,9,2007,3.35,12.91
1,10,2007,0.12,0.39
2,10,2007,0.24,0.79
3,10,2007,0.31,1.18
4,10,2007,0.43,1.61
5,10,2007,0.55,2.09
6,10,2007,0.67,2.52
7,10,2007,0.79,2.91
8,10,2007,0.87,3.31
9,10,2007,0.98,3.82
10,10,2007,1.1,4.21
11,10,2007,1.22,4.69
12,10,2007,1.34,5.12
13,10,2007,1.42,5.51
14,10,2007,1.54,5.98
15,10,2007,1.65,6.42
16,10,2007,1.77,6.89
17,10,2007,1.89,7.28
18,10,2007,1.97,7.72
19,10,2007,2.09,8.11
20,10,2007,2.2,8.5
21,10,2007,2.28,9.02
22,10,2007,2.4,9.41
23,10,2007,2.52,9.69
24,10,2007,2.64,10.12
25,10,2007,2.72,10.51
26,10,2007,2.83,10.91
27,10,2007,2.95,11.3
28,10,2007,3.03,11.69
29,10,2007,3.15,12.09
30,10,2007,3.27,12.52
31,10,2007,3.35,12.91
1,11,2007,0.12,0.39
2,11,2007,0.24,0.79
3,11,2007,0.31,1.18
4,11,2007,0.43,1.61
5,11,2007,0.55,2.09
6,11,2007,0.67,2.52
7,11,2007,0.79,2.91
8,11,2007,0.87,3.31
9,11,2007,0.98,3.82
10,11,2007,1.1,4.21
11,11,2007,1.22,4.69
12,11,2007,1.34,5.12
13,11,2007,1.42,5.51
14,11,2007,1.54,5.98
15,11,2007,1.65,6.42
16,11,2007,1.77,6.89
17,11,2007,1.89,7.28
18,11,2007,1.97,7.72
19,11,2007,2.09,8.11
20,11,2007,2.2,8.5
21,11,2007,2.28,9.02
22,11,2007,2.4,9.41
23,11,2007,2.52,9.69
24,11,2007,2.64,10.12
25,11,2007,2.72,10.51
26,11,2007,2.83,10.91
27,11,2007,2.95,11.3
28,11,2007,3.03,11.69
29,11,2007,3.15,12.09
30,11,2007,3.27,12.52
31,11,2007,3.35,12.91
1,12,2007,0.12,0.39
2,12,2007,0.24,0.79
3,12,2007,0.31,1.18
4,12,2007,0.43,1.61
5,12,2007,0.55,2.09
6,12,2007,0.67,2.52
7,12,2007,0.79,2.91
8,12,2007,0.87,3.31
9,12,2007,0.98,3.82
10,12,2007,1.1,4.21
11,12,2007,1.22,4.69
12,12,2007,1.34,5.12
13,12,2007,1.42,5.51
14,12,2007,1.54,5.98
15,12,2007,1.65,6.42
16,12,2007,1.77,6.89
17,12,2007,1.89,7.28
18,12,2007,1.97,7.72
19,12,2007,2.09,8.11
20,12,2007,2.2,8.5
21,12,2007,2.28,9.02
22,12,2007,2.4,9.41
23,12,2007,2.52,9.69
24,12,2007,2.64,10.12
25,12,2007,2.72,10.51
26,12,2007,2.83,10.91
27,12,2007,2.95,11.3
28,12,2007,3.03,11.69
29,12,2007,3.15,12.09
30,12,2007,3.27,12.52
31,12,2007,3.35,12.91
1,1,2008,0.12,0.39
2,1,2008,0.24,0.79
3,1,2008,0.31,1.18
4,1,2008,0.43,1.61
5,1,2008,0.55,2.09
6,1,2008,0.67,2.52
7,1,2008,0.79,2.91
8,1,2008,0.87,3.31
9,1,2008,0.98,3.82
10,1,2008,1.1,4.21
11,1,2008,1.22,4.69
12,1,2008,1.34,5.12
13,1,2008,1.42,5.51
14,1,2008,1.54,5.98
15,1,2008,1.65,6.42
16,1,2008,1.77,6.89
17,1,2008,1.89,7.28
18,1,2008,1.97,7.72
19,1,2008,2.09,8.11
20,1,2008,2.2,8.5
21,1,2008,2.28,9.02
22,1,2008,2.4,9.41
23,1,2008,2.52,9.69
24,1,2008,2.64,10.12
25,1,2008,2.72,10.51
26,1,2008,2.83,10.91
27,1,2008,2.95,11.3
28,1,2008,3.03,11.69
29,1,2008,3.15,12.09
30,1,2008,3.27,12.52
31,1,2008,3.35,12.91
1,2,2008,0.12,0.39
2,2,2008,0.24,0.79
3,2,2008,0.31,1.18
4,2,2008,0.43,1.61
5,2,2008,0.55,2.09
6,2,2008,0.67,2.52
7,2,2008,0.79,2.91
8,2,2008,0.87,3.31
9,2,2008,0.98,3.82
10,2,2008,1.1,4.21
11,2,2008,1.22,4.69
12,2,2008,1.34,5.12
13,2,2008,1.42,5.51
14,2,2008,1.54,5.98
15,2,2008,1.65,6.42
16,2,2008,1.77,6.89
17,2,2008,1.89,7.28
18,2,2008,1.97,7.72
19,2,2008,2.09,8.11
20,2,2008,2.2,8.5
21,2,2008,2.28,9.02
22,2,2008,2.4,9.41
23,2,2008,2.52,9.69
24,2,2008,2.64,10.12
25,2,2008,2.72,10.51
26,2,2008,2.83,10.91
27,2,2008,2.95,11.3
28,2,2008,3.03,11.69
29,2,2008,3.15,12.09
30,2,2008,3.27,12.52
31,2,2008,3.35,12.91
1,3,2008,0.12,0.39
2,3,2008,0.24,0.79
3,3,2008,0.31,1.18
4,3,2008,0.43,1.61
5,3,2008,0.55,2.09
6,3,2008,0.67,2.52
7,3,2008,0.79,2.91
8,3,2008,0.87,3.31
9,3,2008,0.98,3.82
10,3,2008,1.1,4.21
11,3,2008,1.22,4.69
12,3,2008,1.34,5.12
13,3,2008,1.42,5.51
14,3,2008,1.54,5.98
15,3,2008,1.65,6.42
16,3,2008,1.77,6.89
17,3,2008,1.89,7.28
18,3,2008,1.97,7.72
19,3,2008,2.09,8.11
20,3,2008,2.2,8.5
21,3,2008,2.28,9.02
22,3,2008,2.4,9.41
23,3,2008,2.52,9.69
24,3,2008,2.64,10.12
25,3,2008,2.72,10.51
26,3,2008,2.83,10.91
27,3,2008,2.95,11.3
28,3,2008,3.03,11.69
29,3,2008,3.15,12.09
30,3,2008,3.27,12.52
31,3,2008,3.35,12.91
1,4,2008,0.12,0.39
2,4,2008,0.24,0.79
3,4,2008,0.31,1.18
4,4,2008,0.43,1.61
5,4,2008,0.55,2.09
6,4,2008,0.67,2.52
7,4,2008,0.79,2.91
8,4,2008,0.87,3.31
9,4,2008,0.98,3.82
10,4,2008,1.1,4.21
11,4,2008,1.22,4.69
12,4,2008,1.34,5.12
13,4,2008,1.42,5.51
14,4,2008,1.54,5.98
15,4,2008,1.65,6.42
16,4,2008,1.77,6.89
17,4,2008,1.89,7.28
18,4,2008,1.97,7.72
19,4,2008,2.09,8.11
20,4,2008,2.2,8.5
21,4,2008,2.28,9.02
22,4,2008,2.4,9.41
23,4,2008,2.52,9.69
24,4,2008,2.64,10.12
25,4,2008,2.72,10.51
26,4,2008,2.83,10.91
27,4,2008,2.95,11.3
28,4,2008,3.03,11.69
29,4,2008,3.15,12.09
30,4,2008,3.27,12.52
31,4,2008,3.35,12.91
1,5,2008,0.12,0.39
2,5,2008,0.24,0.79
3,5,2008,0.31,1.18
4,5,2008,0.43,1.61
5,5,2008,0.55,2.09
6,5,2008,0.67,2.52
7,5,2008,0.79,2.91
8,5,2008,0.87,3.31
9,5,2008,0.98,3.82
10,5,2008,1.1,4.21
11,5,2008,1.22,4.69
12,5,2008,1.34,5.12
13,5,2008,1.42,5.51
14,5,2008,1.54,5.98
15,5,2008,1.65,6.42
16,5,2008,1.77,6.89
17,5,2008,1.89,7.28
18,5,2008,1.97,7.72
19,5,2008,2.09,8.11
20,5,2008,2.2,8.5
21,5,2008,2.28,9.02
22,5,2008,2.4,9.41
23,5,2008,2.52,9.69
24,5,2008,2.64,10.12
25,5,2008,2.72,10.51
26,5,2008,2.83,10.91
27,5,2008,2.95,11.3
28,5,2008,3.03,11.69
29,5,2008,3.15,12.09
30,5,2008,3.27,12.52
31,5,2008,3.35,12.91
1,6,2008,0.12,0.39
2,6,2008,0.24,0.79
3,6,2008,0.31,1.18
4,6,2008,0.43,1.61
5,6,2008,0.55,2.09
6,6,2008,0.67,2.52
7,6,2008,0.79,2.91
8,6,2008,0.87,3.31
9,6,2008,0.98,3.82
10,6,2008,1.1,4.21
11,6,2008,1.22,4.69
12,6,2008,1.34,5.12
13,6,2008,1.42,5.51
14,6,2008,1.54,5.98
15,6,2008,1.65,6.42
16,6,2008,1.77,6.89
17,6,2008,1.89,7.28
18,6,2008,1.97,7.72
19,6,2008,2.09,8.11
20,6,2008,2.2,8.5
21,6,2008,2.28,9.02
22,6,2008,2.4,9.41
23,6,2008,2.52,9.69
24,6,2008,2.64,10.12
25,6,2008,2.72,10.51
26,6,2008,2.83,10.91
27,6,2008,2.95,11.3
28,6,2008,3.03,11.69
29,6,2008,3.15,12.09
30,6,2008,3.27,12.52
31,6,2008,3.35,12.91
1,7,2008,0.12,0.39
2,7,2008,0.24,0.79
3,7,2008,0.31,1.18
4,7,2008,0.43,1.61
5,7,2008,0.55,2.09
6,7,2008,0.67,2.52
7,7,2008,0.79,2.91
8,7,2008,0.87,3.31
9,7,2008,0.98,3.82
10,7,2008,1.1,4.21
11,7,2008,1.22,4.69
12,7,2008,1.34,5.12
13,7,2008,1.42,5.51
14,7,2008,1.54,5.98
15,7,2008,1.65,6.42
16,7,2008,1.77,6.89
17,7,2008,1.89,7.28
18,7,2008,1.97,7.72
19,7,2008,2.09,8.11
20,7,2008,2.2,8.5
21,7,2008,2.28,9.02
22,7,2008,2.4,9.41
23,7,2008,2.52,9.69
24,7,2008,2.64,10.12
25,7,2008,2.72,10.51
26,7,2008,2.83,10.91
27,7,2008,2.95,11.3
28,7,2008,3.03,11.69
29,7,2008,3.15,12.09
30,7,2008,3.27,12.52
31,7,2008,3.35,12.91
1,8,2008,0.12,0.39
2,8,2008,0.24,0.79
3,8,2008,0.31,1.18
4,8,2008,0.43,1.61
5,8,2008,0.55,2.09
6,8,2008,0.67,2.52
7,8,2008,0.79,2.91
8,8,2008,0.87,3.31
9,8,2008,0.98,3.82
10,8,2008,1.1,4.21
11,8,2008,1.22,4.69
12,8,2008,1.34,5.12
13,8,2008,1.42,5.51
14,8,2008,1.54,5.98
15,8,2008,1.65,6.42
16,8,2008,1.77,6.89
17,8,2008,1.89,7.28
18,8,2008,1.97,7.72
19,8,2008,2.09,8.11
20,8,2008,2.2,8.5
21,8,2008,2.28,9.02
22,8,2008,2.4,9.41
23,8,2008,2.52,9.69
24,8,2008,2.64,10.12
25,8,2008,2.72,10.51
26,8,2008,2.83,10.91
27,8,2008,2.95,11.3
28,8,2008,3.03,11.69
29,8,2008,3.15,12.09
30,8,2008,3.27,12.52
31,8,2008,3.35,12.91
1,9,2008,0.12,0.39
2,9,2008,0.24,0.79
3,9,2008,0.31,1.18
4,9,2008,0.43,1.61
5,9,2008,0.55,2.09
6,9,2008,0.67,2.52
7,9,2008,0.79,2.91
8,9,2008,0.87,3.31
9,9,2008,0.98,3.82
10,9,2008,1.1,4.21
11,9,2008,1.22,4.69
12,9,2008,1.34,5.12
13,9,2008,1.42,5.51
14,9,2008,1.54,5.98
15,9,2008,1.65,6.42
16,9,2008,1.77,6.89
17,9,2008,1.89,7.28
18,9,2008,1.97,7.72
19,9,2008,2.09,8.11
20,9,2008,2.2,8.5
21,9,2008,2.28,9.02
22,9,2008,2.4,9.41
23,9,2008,2.52,9.69
24,9,2008,2.64,10.12
25,9,2008,2.72,10.51
26,9,2008,2.83,10.91
27,9,2008,2.95,11.3
28,9,2008,3.03,11.69
29,9,2008,3.15,12.09
30,9,2008,3.27,12.52
31,9,2008,3.35,12.91
1,10,2008,0.12,0.39
2,10,2008,0.24,0.79
3,10,2008,0.31,1.18
4,10,2008,0.43,1.61
5,10,2008,0.55,2.09
6,10,2008,0.67,2.52
7,10,2008,0.79,2.91
8,10,2008,0.87,3.31
9,10,2008,0.98,3.82
10,10,2008,1.1,4.21
11,10,2008,1.22,4.69
12,10,2008,1.34,5.12
13,10,2008,1.42,5.51
14,10,2008,1.54,5.98
15,10,2008,1.65,6.42
16,10,2008,1.77,6.89
17,10,2008,1.89,7.28
18,10,2008,1.97,7.72
19,10,2008,2.09,8.11
20,10,2008,2.2,8.5
21,10,2008,2.28,9.02
22,10,2008,2.4,9.41
23,10,2008,2.52,9.69
24,10,2008,2.64,10.12
25,10,2008,2.72,10.51
26,10,2008,2.83,10.91
27,10,2008,2.95,11.3
28,10,2008,3.03,11.69
29,10,2008,3.15,12.09
30,10,2008,3.27,12.52
31,10,2008,3.35,12.91
1,11,2008,0.12,0.39
2,11,2008,0.24,0.79
3,11,2008,0.31,1.18
4,11,2008,0.43,1.61
5,11,2008,0.55,2.09
6,11,2008,0.67,2.52
7,11,2008,0.79,2.91
8,11,2008,0.87,3.31
9,11,2008,0.98,3.82
10,11,2008,1.1,4.21
11,11,2008,1.22,4.69
12,11,2008,1.34,5.12
13,11,2008,1.42,5.51
14,11,2008,1.54,5.98
15,11,2008,1.65,6.42
16,11,2008,1.77,6.89
17,11,2008,1.89,7.28
18,11,2008,1.97,7.72
19,11,2008,2.09,8.11
20,11,2008,2.2,8.5
21,11,2008,2.28,9.02
22,11,2008,2.4,9.41
23,11,2008,2.52,9.69
24,11,2008,2.64,10.12
25,11,2008,2.72,10.51
26,11,2008,2.83,10.91
27,11,2008,2.95,11.3
28,11,2008,3.03,11.69
29,11,2008,3.15,12.09
30,11,2008,3.27,12.52
31,11,2008,3.35,12.91
1,12,2008,0.12,0.39
2,12,2008,0.24,0.79
3,12,2008,0.31,1.18
4,12,2008,0.43,1.61
5,12,2008,0.55,2.09
6,12,2008,0.67,2.52
7,12,2008,0.79,2.91
8,12,2008,0.87,3.31
9,12,2008,0.98,3.82
10,12,2008,1.1,4.21
11,12,2008,1.22,4.69
12,12,2008,1.34,5.12
13,12,2008,1.42,5.51
14,12,2008,1.54,5.98
15,12,2008,1.65,6.42
16,12,2008,1.77,6.89
17,12,2008,1.89,7.28
18,12,2008,1.97,7.72
19,12,2008,2.09,8.11
20,12,2008,2.2,8.5
21,12,2008,2.28,9.02
22,12,2008,2.4,9.41
23,12,2008,2.52,9.69
24,12,2008,2.64,10.12
25,12,2008,2.72,10.51
26,12,2008,2.83,10.91
27,12,2008,2.95,11.3
28,12,2008,3.03,11.69
29,12,2008,3.15,12.09
30,12,2008,3.27,12.52
31,12,2008,3.35,12.91
1,1,2009,0.12,0.39
2,1,2009,0.24,0.79
3,1,2009,0.31,1.18
4,1,2009,0.43,1.61
5,1,2009,0.55,2.09
6,1,2009,0.67,2.52
7,1,2009,0.79,2.91
8,1,2009,0.87,3.31
9,1,2009,0.98,3.82
10,1,2009,1.1,4.21
11,1,2009,1.22,4.69
12,1,2009,1.34,5.12
13,1,2009,1.42,5.51
14,1,2009,1.54,5.98
